103 1 765 431 143 54 -1 -1 -1 -1 label : spot-0.52
104 1 764 432 149 52 -1 -1 -1 -1 label : spot-0.55
107 1 762 434 160 52 -1 -1 -1 -1 label : spot-0.45
108 1 762 434 166 54 -1 -1 -1 -1 label : spot-0.60
111 1 758 436 181 59 -1 -1 -1 -1 label : spot-0.59
145 5 795 463 483 117 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.49
146 5 793 462 486 111 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
147 5 812 463 463 112 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.58
148 5 823 463 456 106 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
150 5 818 464 453 104 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.50
151 5 821 468 454 103 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.54
152 5 841 470 431 106 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.48
153 5 840 473 438 107 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.53
154 5 840 475 439 105 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.51
168 7 1097 490 181 109 -1 -1 -1 -1 label : spot-1 0.48
