118 2 827 440 401 95 -1 -1 -1 -1 label : spot-0.52
125 2 837 450 438 108 -1 -1 -1 -1 label : spot-0.59
128 2 839 455 440 105 -1 -1 -1 -1 label : spot-0.50
129 2 840 458 439 109 -1 -1 -1 -1 label : spot-0.53
178 9 840 452 163 55 -1 -1 -1 -1 label : spot-1 0.57
179 9 846 453 163 56 -1 -1 -1 -1 label : spot-1 0.58
180 9 850 454 171 59 -1 -1 -1 -1 label : spot-1 0.52
181 9 852 455 182 61 -1 -1 -1 -1 label : spot-1 0.56
182 9 858 455 186 62 -1 -1 -1 -1 label : spot-1 0.60
183 9 866 454 190 65 -1 -1 -1 -1 label : spot-1 0.59
184 9 874 454 197 65 -1 -1 -1 -1 label : spot-1 0.61
185 9 875 455 214 65 -1 -1 -1 -1 label : spot-1 0.63
186 9 884 459 219 63 -1 -1 -1 -1 label : spot-1 0.55
187 9 886 462 234 56 -1 -1 -1 -1 label : spot-1 0.55
188 9 904 464 226 62 -1 -1 -1 -1 label : spot-1 0.59
189 9 914 466 227 70 -1 -1 -1 -1 label : spot-1 0.60
190 9 911 470 254 75 -1 -1 -1 -1 label : spot-1 0.67
191 9 919 473 263 78 -1 -1 -1 -1 label : spot-1 0.58
192 9 931 476 266 83 -1 -1 -1 -1 label : spot-1 0.66
193 9 921 480 302 83 -1 -1 -1 -1 label : spot-1 0.62
194 9 939 482 298 92 -1 -1 -1 -1 label : spot-1 0.67
195 9 934 485 335 94 -1 -1 -1 -1 label : spot-1 0.59
