102 1 150 404 278 116 -1 -1 -1 -1 label : spot-0.58
103 1 119 404 308 118 -1 -1 -1 -1 label : spot-0.59
104 1 112 404 313 116 -1 -1 -1 -1 label : spot-0.58
105 1 63 407 356 105 -1 -1 -1 -1 label : spot-0.48
106 1 60 409 344 100 -1 -1 -1 -1 label : spot-0.49
107 1 15 409 381 108 -1 -1 -1 -1 label : spot-0.54
108 1 2 410 392 110 -1 -1 -1 -1 label : spot-0.55
227 5 860 437 419 125 -1 -1 -1 -1 label : spot-1 0.58
228 5 871 437 405 120 -1 -1 -1 -1 label : spot-1 0.58
229 5 887 446 386 126 -1 -1 -1 -1 label : spot-1 0.50
230 5 886 449 392 128 -1 -1 -1 -1 label : spot-1 0.51
231 5 894 450 385 127 -1 -1 -1 -1 label : spot-1 0.53
232 5 896 450 383 127 -1 -1 -1 -1 label : spot-1 0.52
589 12 828 262 15 35 -1 -1 -1 -1 label : fireHydrant 0.60
590 12 829 261 15 35 -1 -1 -1 -1 label : fireHydrant 0.60
591 12 830 261 14 34 -1 -1 -1 -1 label : fireHydrant 0.60
592 12 831 260 14 35 -1 -1 -1 -1 label : fireHydrant 0.60
593 12 831 258 16 36 -1 -1 -1 -1 label : fireHydrant 0.54
594 12 832 257 16 37 -1 -1 -1 -1 label : fireHydrant 0.54
595 12 833 256 16 38 -1 -1 -1 -1 label : fireHydrant 0.71
596 12 834 256 16 38 -1 -1 -1 -1 label : fireHydrant 0.70
597 12 835 255 15 39 -1 -1 -1 -1 label : fireHydrant 0.69
598 12 835 255 16 39 -1 -1 -1 -1 label : fireHydrant 0.69
599 12 836 256 16 38 -1 -1 -1 -1 label : fireHydrant 0.62
600 12 837 257 15 36 -1 -1 -1 -1 label : fireHydrant 0.62
601 12 838 258 14 37 -1 -1 -1 -1 label : fireHydrant 0.61
602 12 838 258 15 37 -1 -1 -1 -1 label : fireHydrant 0.61
603 12 838 260 16 37 -1 -1 -1 -1 label : fireHydrant 0.67
604 12 838 260 16 37 -1 -1 -1 -1 label : fireHydrant 0.67
605 12 839 261 15 37 -1 -1 -1 -1 label : fireHydrant 0.62
606 12 839 261 15 37 -1 -1 -1 -1 label : fireHydrant 0.60
607 12 839 262 15 37 -1 -1 -1 -1 label : fireHydrant 0.59
608 12 840 262 15 37 -1 -1 -1 -1 label : fireHydrant 0.58
609 12 841 263 16 36 -1 -1 -1 -1 label : fireHydrant 0.67
610 12 842 263 15 37 -1 -1 -1 -1 label : fireHydrant 0.67
611 12 842 263 17 37 -1 -1 -1 -1 label : fireHydrant 0.68
612 12 843 263 17 37 -1 -1 -1 -1 label : fireHydrant 0.67
613 12 844 263 17 35 -1 -1 -1 -1 label : fireHydrant 0.64
614 12 845 263 16 35 -1 -1 -1 -1 label : fireHydrant 0.64
615 12 846 264 16 34 -1 -1 -1 -1 label : fireHydrant 0.69
616 12 847 264 16 34 -1 -1 -1 -1 label : fireHydrant 0.69
617 12 847 264 17 34 -1 -1 -1 -1 label : fireHydrant 0.71
618 12 848 264 17 35 -1 -1 -1 -1 label : fireHydrant 0.71
619 12 849 264 16 35 -1 -1 -1 -1 label : fireHydrant 0.71
620 12 849 264 16 35 -1 -1 -1 -1 label : fireHydrant 0.70
621 12 850 265 15 35 -1 -1 -1 -1 label : fireHydrant 0.72
622 12 850 265 16 35 -1 -1 -1 -1 label : fireHydrant 0.72
623 12 851 265 16 35 -1 -1 -1 -1 label : fireHydrant 0.65
624 12 852 265 16 36 -1 -1 -1 -1 label : fireHydrant 0.65
625 12 853 264 15 37 -1 -1 -1 -1 label : fireHydrant 0.70
626 12 853 264 16 37 -1 -1 -1 -1 label : fireHydrant 0.70
627 12 853 264 16 38 -1 -1 -1 -1 label : fireHydrant 0.65
628 12 854 264 16 38 -1 -1 -1 -1 label : fireHydrant 0.65
629 12 854 264 17 38 -1 -1 -1 -1 label : fireHydrant 0.65
630 12 855 263 17 38 -1 -1 -1 -1 label : fireHydrant 0.65
631 12 856 263 16 38 -1 -1 -1 -1 label : fireHydrant 0.71
632 12 857 263 16 38 -1 -1 -1 -1 label : fireHydrant 0.71
633 12 858 263 15 36 -1 -1 -1 -1 label : fireHydrant 0.76
634 12 859 263 15 36 -1 -1 -1 -1 label : fireHydrant 0.76
635 12 859 262 16 37 -1 -1 -1 -1 label : fireHydrant 0.77
636 12 859 262 17 36 -1 -1 -1 -1 label : fireHydrant 0.77
637 12 859 261 17 37 -1 -1 -1 -1 label : fireHydrant 0.76
638 12 860 261 17 37 -1 -1 -1 -1 label : fireHydrant 0.76
639 12 861 261 17 37 -1 -1 -1 -1 label : fireHydrant 0.76
640 12 862 261 17 37 -1 -1 -1 -1 label : fireHydrant 0.76
641 12 862 261 18 37 -1 -1 -1 -1 label : fireHydrant 0.76
642 12 863 261 18 37 -1 -1 -1 -1 label : fireHydrant 0.76
643 12 864 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.77
644 12 865 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.77
645 12 866 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.80
646 12 867 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.80
647 12 867 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.77
648 12 868 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.77
649 12 868 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.74
650 12 869 261 17 36 -1 -1 -1 -1 label : fireHydrant 0.74
651 12 870 261 16 37 -1 -1 -1 -1 label : fireHydrant 0.70
652 12 870 261 16 37 -1 -1 -1 -1 label : fireHydrant 0.70
653 12 871 261 15 38 -1 -1 -1 -1 label : fireHydrant 0.67
654 12 871 261 16 38 -1 -1 -1 -1 label : fireHydrant 0.67
655 12 872 261 15 39 -1 -1 -1 -1 label : fireHydrant 0.65
656 12 873 261 15 39 -1 -1 -1 -1 label : fireHydrant 0.64
657 12 873 261 16 39 -1 -1 -1 -1 label : fireHydrant 0.70
658 12 874 261 15 39 -1 -1 -1 -1 label : fireHydrant 0.70
659 12 874 261 16 38 -1 -1 -1 -1 label : fireHydrant 0.75
660 12 875 261 16 38 -1 -1 -1 -1 label : fireHydrant 0.75
661 12 875 260 17 39 -1 -1 -1 -1 label : fireHydrant 0.76
662 12 876 260 17 39 -1 -1 -1 -1 label : fireHydrant 0.76
663 12 877 260 17 39 -1 -1 -1 -1 label : fireHydrant 0.72
664 12 878 260 17 39 -1 -1 -1 -1 label : fireHydrant 0.72
665 12 878 260 18 40 -1 -1 -1 -1 label : fireHydrant 0.72
666 12 879 260 18 40 -1 -1 -1 -1 label : fireHydrant 0.73
667 12 879 260 19 41 -1 -1 -1 -1 label : fireHydrant 0.75
668 12 879 260 19 41 -1 -1 -1 -1 label : fireHydrant 0.77
669 12 879 260 20 41 -1 -1 -1 -1 label : fireHydrant 0.78
670 12 880 260 19 41 -1 -1 -1 -1 label : fireHydrant 0.78
671 12 880 260 19 41 -1 -1 -1 -1 label : fireHydrant 0.76
672 12 881 260 19 41 -1 -1 -1 -1 label : fireHydrant 0.76
673 12 882 260 18 40 -1 -1 -1 -1 label : fireHydrant 0.69
674 12 883 260 18 40 -1 -1 -1 -1 label : fireHydrant 0.68
675 12 883 260 18 40 -1 -1 -1 -1 label : fireHydrant 0.60
