186 1 853 481 394 84 -1 -1 -1 -1 label : spot-0.50
187 1 851 481 395 85 -1 -1 -1 -1 label : spot-0.50
188 1 861 483 395 92 -1 -1 -1 -1 label : spot-0.55
189 1 860 484 404 95 -1 -1 -1 -1 label : spot-0.54
190 1 863 486 413 94 -1 -1 -1 -1 label : spot-0.48
191 1 867 487 410 93 -1 -1 -1 -1 label : spot-0.48
192 1 870 487 409 89 -1 -1 -1 -1 label : spot-0.45
193 1 876 487 400 89 -1 -1 -1 -1 label : spot-0.45
194 1 893 490 384 89 -1 -1 -1 -1 label : spot-0.41
195 1 895 491 384 88 -1 -1 -1 -1 label : spot-0.41
212 2 87 451 128 43 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
213 2 83 452 129 43 -1 -1 -1 -1 label : invalidSpot-entrance 0.42
248 3 763 398 17 34 -1 -1 -1 -1 label : fireHydrant 0.61
249 3 764 397 17 36 -1 -1 -1 -1 label : fireHydrant 0.61
250 3 766 394 17 38 -1 -1 -1 -1 label : fireHydrant 0.42
251 3 767 392 17 40 -1 -1 -1 -1 label : fireHydrant 0.42
252 3 768 391 18 40 -1 -1 -1 -1 label : fireHydrant 0.49
253 3 769 391 18 40 -1 -1 -1 -1 label : fireHydrant 0.50
254 3 771 390 17 41 -1 -1 -1 -1 label : fireHydrant 0.67
255 3 772 390 17 41 -1 -1 -1 -1 label : fireHydrant 0.67
256 3 774 390 18 40 -1 -1 -1 -1 label : fireHydrant 0.51
257 3 775 390 18 40 -1 -1 -1 -1 label : fireHydrant 0.50
260 3 780 392 18 42 -1 -1 -1 -1 label : fireHydrant 0.54
261 3 782 393 17 43 -1 -1 -1 -1 label : fireHydrant 0.54
262 3 783 395 19 45 -1 -1 -1 -1 label : fireHydrant 0.49
263 3 785 396 18 45 -1 -1 -1 -1 label : fireHydrant 0.50
264 3 787 398 19 44 -1 -1 -1 -1 label : fireHydrant 0.53
265 3 788 399 19 44 -1 -1 -1 -1 label : fireHydrant 0.52
266 3 791 400 20 44 -1 -1 -1 -1 label : fireHydrant 0.41
267 3 792 400 20 44 -1 -1 -1 -1 label : fireHydrant 0.42
268 3 794 400 21 44 -1 -1 -1 -1 label : fireHydrant 0.45
269 3 795 401 21 43 -1 -1 -1 -1 label : fireHydrant 0.45
270 3 800 400 19 45 -1 -1 -1 -1 label : fireHydrant 0.47
271 3 801 400 19 45 -1 -1 -1 -1 label : fireHydrant 0.46
272 3 804 399 20 49 -1 -1 -1 -1 label : fireHydrant 0.45
273 3 805 399 21 50 -1 -1 -1 -1 label : fireHydrant 0.44
274 3 808 399 22 48 -1 -1 -1 -1 label : fireHydrant 0.66
275 3 810 399 21 47 -1 -1 -1 -1 label : fireHydrant 0.66
276 3 814 398 21 47 -1 -1 -1 -1 label : fireHydrant 0.48
277 3 816 398 19 46 -1 -1 -1 -1 label : fireHydrant 0.48
281 3 821 397 25 51 -1 -1 -1 -1 label : fireHydrant 0.41
282 3 829 396 23 56 -1 -1 -1 -1 label : fireHydrant 0.55
283 3 831 396 24 58 -1 -1 -1 -1 label : fireHydrant 0.55
285 3 835 396 27 55 -1 -1 -1 -1 label : fireHydrant 0.41
286 3 839 396 28 53 -1 -1 -1 -1 label : fireHydrant 0.60
287 3 841 395 28 53 -1 -1 -1 -1 label : fireHydrant 0.60
288 3 846 396 28 50 -1 -1 -1 -1 label : fireHydrant 0.57
289 3 848 396 27 51 -1 -1 -1 -1 label : fireHydrant 0.57
290 3 852 394 29 53 -1 -1 -1 -1 label : fireHydrant 0.63
291 3 854 393 29 54 -1 -1 -1 -1 label : fireHydrant 0.61
292 3 859 390 30 56 -1 -1 -1 -1 label : fireHydrant 0.60
293 3 861 389 30 57 -1 -1 -1 -1 label : fireHydrant 0.61
294 3 867 386 30 58 -1 -1 -1 -1 label : fireHydrant 0.56
295 3 868 385 30 59 -1 -1 -1 -1 label : fireHydrant 0.58
296 3 874 382 30 58 -1 -1 -1 -1 label : fireHydrant 0.65
297 3 876 381 30 58 -1 -1 -1 -1 label : fireHydrant 0.65
298 3 882 377 31 63 -1 -1 -1 -1 label : fireHydrant 0.64
299 3 883 375 32 65 -1 -1 -1 -1 label : fireHydrant 0.63
300 3 889 374 33 64 -1 -1 -1 -1 label : fireHydrant 0.49
301 3 891 373 34 64 -1 -1 -1 -1 label : fireHydrant 0.51
302 3 898 374 33 64 -1 -1 -1 -1 label : fireHydrant 0.76
303 3 900 374 33 65 -1 -1 -1 -1 label : fireHydrant 0.77
304 3 907 376 35 65 -1 -1 -1 -1 label : fireHydrant 0.60
305 3 909 377 35 65 -1 -1 -1 -1 label : fireHydrant 0.59
306 3 916 380 36 72 -1 -1 -1 -1 label : fireHydrant 0.55
307 3 919 381 36 74 -1 -1 -1 -1 label : fireHydrant 0.55
308 3 925 385 40 75 -1 -1 -1 -1 label : fireHydrant 0.52
309 3 927 386 41 76 -1 -1 -1 -1 label : fireHydrant 0.51
310 3 936 391 38 73 -1 -1 -1 -1 label : fireHydrant 0.46
311 3 939 393 37 72 -1 -1 -1 -1 label : fireHydrant 0.47
312 3 947 399 39 72 -1 -1 -1 -1 label : fireHydrant 0.43
313 3 950 401 39 72 -1 -1 -1 -1 label : fireHydrant 0.44
318 3 977 415 49 80 -1 -1 -1 -1 label : fireHydrant 0.55
319 3 984 417 48 83 -1 -1 -1 -1 label : fireHydrant 0.55
320 3 994 417 51 87 -1 -1 -1 -1 label : fireHydrant 0.60
321 3 998 417 52 90 -1 -1 -1 -1 label : fireHydrant 0.60
322 3 1009 418 56 90 -1 -1 -1 -1 label : fireHydrant 0.64
323 3 1013 418 56 91 -1 -1 -1 -1 label : fireHydrant 0.64
324 3 1022 417 60 94 -1 -1 -1 -1 label : fireHydrant 0.62
324 5 134 465 97 49 -1 -1 -1 -1 label : invalidSpot-entrance 0.57
325 3 1026 417 60 95 -1 -1 -1 -1 label : fireHydrant 0.63
325 5 130 464 102 52 -1 -1 -1 -1 label : invalidSpot-entrance 0.58
326 3 1040 414 61 100 -1 -1 -1 -1 label : fireHydrant 0.57
326 5 126 464 101 51 -1 -1 -1 -1 label : invalidSpot-entrance 0.51
327 3 1045 413 62 102 -1 -1 -1 -1 label : fireHydrant 0.57
327 5 125 464 100 50 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
328 3 1061 412 61 104 -1 -1 -1 -1 label : fireHydrant 0.56
328 5 116 464 109 47 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
329 3 1066 413 62 103 -1 -1 -1 -1 label : fireHydrant 0.57
329 5 116 464 106 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.48
330 3 1073 413 64 105 -1 -1 -1 -1 label : fireHydrant 0.45
331 5 111 464 107 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.45
334 5 100 464 106 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.53
335 5 95 464 108 49 -1 -1 -1 -1 label : invalidSpot-entrance 0.53
392 6 168 443 139 42 -1 -1 -1 -1 label : spot-1 0.43
393 6 166 444 141 42 -1 -1 -1 -1 label : spot-1 0.42
394 6 162 445 140 42 -1 -1 -1 -1 label : spot-1 0.44
395 6 160 446 140 42 -1 -1 -1 -1 label : spot-1 0.44
