16 1 0 453 429 145 -1 -1 -1 -1 label : spot-0.60
17 1 0 454 421 139 -1 -1 -1 -1 label : spot-0.60
18 1 6 458 383 140 -1 -1 -1 -1 label : spot-0.56
19 1 2 460 383 140 -1 -1 -1 -1 label : spot-0.56
20 1 0 464 400 144 -1 -1 -1 -1 label : spot-0.51
21 1 0 465 404 145 -1 -1 -1 -1 label : spot-0.51
22 1 3 471 366 139 -1 -1 -1 -1 label : spot-0.47
23 1 0 473 360 137 -1 -1 -1 -1 label : spot-0.48
28 1 8 487 329 151 -1 -1 -1 -1 label : spot-0.45
29 1 2 493 338 156 -1 -1 -1 -1 label : spot-0.46
30 1 7 497 332 180 -1 -1 -1 -1 label : spot-0.45
31 1 1 499 347 189 -1 -1 -1 -1 label : spot-0.46
32 1 0 501 342 191 -1 -1 -1 -1 label : spot-0.47
33 1 0 502 342 191 -1 -1 -1 -1 label : spot-0.47
132 5 900 435 110 32 -1 -1 -1 -1 label : spot-1 0.51
133 5 901 434 111 33 -1 -1 -1 -1 label : spot-1 0.50
134 5 907 434 109 33 -1 -1 -1 -1 label : spot-1 0.47
135 5 909 433 110 34 -1 -1 -1 -1 label : spot-1 0.48
136 5 910 433 111 34 -1 -1 -1 -1 label : spot-1 0.51
137 5 909 432 113 35 -1 -1 -1 -1 label : spot-1 0.53
138 5 909 432 116 37 -1 -1 -1 -1 label : spot-1 0.57
139 5 908 432 118 37 -1 -1 -1 -1 label : spot-1 0.57
140 5 908 433 124 36 -1 -1 -1 -1 label : spot-1 0.52
141 5 910 433 122 36 -1 -1 -1 -1 label : spot-1 0.52
142 5 917 434 119 35 -1 -1 -1 -1 label : spot-1 0.52
143 5 919 434 119 35 -1 -1 -1 -1 label : spot-1 0.52
144 5 914 434 129 37 -1 -1 -1 -1 label : spot-1 0.46
145 5 913 434 131 37 -1 -1 -1 -1 label : spot-1 0.46
146 5 913 435 136 37 -1 -1 -1 -1 label : spot-1 0.48
147 5 915 435 134 37 -1 -1 -1 -1 label : spot-1 0.46
157 5 921 434 147 38 -1 -1 -1 -1 label : spot-1 0.41
158 5 929 432 149 41 -1 -1 -1 -1 label : spot-1 0.53
159 5 931 432 152 41 -1 -1 -1 -1 label : spot-1 0.52
160 5 933 432 154 43 -1 -1 -1 -1 label : spot-1 0.62
161 5 932 432 157 43 -1 -1 -1 -1 label : spot-1 0.61
162 5 934 434 158 43 -1 -1 -1 -1 label : spot-1 0.61
163 5 936 434 157 44 -1 -1 -1 -1 label : spot-1 0.60
164 5 937 433 159 45 -1 -1 -1 -1 label : spot-1 0.51
165 5 937 433 160 45 -1 -1 -1 -1 label : spot-1 0.52
206 6 1011 463 268 85 -1 -1 -1 -1 label : spot-2 0.47
207 6 1011 463 268 84 -1 -1 -1 -1 label : spot-2 0.48
208 6 1005 465 274 82 -1 -1 -1 -1 label : spot-2 0.42
209 6 1006 465 273 81 -1 -1 -1 -1 label : spot-2 0.41
210 6 1032 468 242 80 -1 -1 -1 -1 label : spot-2 0.51
211 6 1036 469 243 80 -1 -1 -1 -1 label : spot-2 0.52
212 6 1013 470 266 77 -1 -1 -1 -1 label : spot-2 0.52
213 6 1012 471 267 76 -1 -1 -1 -1 label : spot-2 0.53
214 6 1017 475 262 72 -1 -1 -1 -1 label : spot-2 0.41
215 6 1019 476 260 73 -1 -1 -1 -1 label : spot-2 0.41
216 6 1010 477 269 68 -1 -1 -1 -1 label : spot-2 0.41
218 6 1010 478 267 71 -1 -1 -1 -1 label : spot-2 0.47
219 6 1006 479 272 72 -1 -1 -1 -1 label : spot-2 0.48
222 6 1010 480 266 75 -1 -1 -1 -1 label : spot-2 0.44
223 6 1009 481 269 75 -1 -1 -1 -1 label : spot-2 0.44
225 6 1016 481 260 77 -1 -1 -1 -1 label : spot-2 0.40
226 6 1019 482 260 73 -1 -1 -1 -1 label : spot-2 0.42
227 6 1025 482 254 72 -1 -1 -1 -1 label : spot-2 0.41
240 6 1098 483 168 67 -1 -1 -1 -1 label : spot-1 0.41
241 6 1111 483 163 65 -1 -1 -1 -1 label : spot-1 0.40
250 6 1143 485 130 67 -1 -1 -1 -1 label : spot-1 0.44
251 6 1148 486 131 68 -1 -1 -1 -1 label : spot-1 0.44
252 6 1145 488 134 63 -1 -1 -1 -1 label : spot-1 0.43
253 6 1147 488 132 62 -1 -1 -1 -1 label : spot-1 0.42
254 6 1149 487 130 63 -1 -1 -1 -1 label : spot-1 0.49
255 6 1149 486 130 64 -1 -1 -1 -1 label : spot-1 0.49
256 6 1152 487 127 64 -1 -1 -1 -1 label : spot-1 0.48
256 7 952 438 57 34 -1 -1 -1 -1 label : spot-1 0.41
257 6 1152 487 127 65 -1 -1 -1 -1 label : spot-1 0.48
257 7 954 437 58 36 -1 -1 -1 -1 label : spot-1 0.41
258 6 1157 487 122 65 -1 -1 -1 -1 label : spot-1 0.55
259 7 954 438 61 36 -1 -1 -1 -1 label : spot-1 0.55
260 7 955 438 64 36 -1 -1 -1 -1 label : spot-1 0.53
261 7 955 439 65 36 -1 -1 -1 -1 label : spot-1 0.52
262 7 961 439 68 38 -1 -1 -1 -1 label : spot-1 0.54
263 7 963 439 69 38 -1 -1 -1 -1 label : spot-1 0.54
264 7 965 440 73 38 -1 -1 -1 -1 label : spot-1 0.50
265 7 967 440 71 38 -1 -1 -1 -1 label : spot-1 0.50
266 7 966 442 77 37 -1 -1 -1 -1 label : spot-1 0.47
267 7 967 442 77 38 -1 -1 -1 -1 label : spot-1 0.47
268 7 972 443 77 38 -1 -1 -1 -1 label : spot-1 0.55
269 7 974 444 77 38 -1 -1 -1 -1 label : spot-1 0.56
270 7 978 448 80 37 -1 -1 -1 -1 label : spot-1 0.51
271 7 979 449 80 37 -1 -1 -1 -1 label : spot-1 0.51
272 7 980 451 85 36 -1 -1 -1 -1 label : spot-1 0.56
273 7 982 451 84 37 -1 -1 -1 -1 label : spot-1 0.57
274 7 980 453 97 35 -1 -1 -1 -1 label : spot-1 0.58
275 7 983 453 94 35 -1 -1 -1 -1 label : spot-1 0.58
276 7 983 454 99 35 -1 -1 -1 -1 label : spot-1 0.54
277 7 984 455 99 35 -1 -1 -1 -1 label : spot-1 0.54
278 7 996 454 92 37 -1 -1 -1 -1 label : spot-1 0.54
279 7 999 454 93 38 -1 -1 -1 -1 label : spot-1 0.53
280 7 1000 456 99 37 -1 -1 -1 -1 label : spot-1 0.58
281 7 1002 457 99 37 -1 -1 -1 -1 label : spot-1 0.58
282 7 1005 456 103 38 -1 -1 -1 -1 label : spot-1 0.63
283 7 1006 456 104 38 -1 -1 -1 -1 label : spot-1 0.63
284 7 1009 456 110 39 -1 -1 -1 -1 label : spot-1 0.62
285 7 1010 457 110 39 -1 -1 -1 -1 label : spot-1 0.63
286 7 1014 455 110 40 -1 -1 -1 -1 label : spot-1 0.55
287 7 1015 454 111 41 -1 -1 -1 -1 label : spot-1 0.55
288 7 1018 454 115 42 -1 -1 -1 -1 label : spot-1 0.61
289 7 1019 454 116 43 -1 -1 -1 -1 label : spot-1 0.60
290 7 1018 455 126 42 -1 -1 -1 -1 label : spot-1 0.60
291 7 1019 455 126 43 -1 -1 -1 -1 label : spot-1 0.60
292 7 1024 455 126 43 -1 -1 -1 -1 label : spot-1 0.58
293 7 1025 455 127 44 -1 -1 -1 -1 label : spot-1 0.58
294 7 1022 457 136 42 -1 -1 -1 -1 label : spot-1 0.51
295 7 1024 458 133 42 -1 -1 -1 -1 label : spot-1 0.51
296 7 1033 457 126 42 -1 -1 -1 -1 label : spot-1 0.44
297 7 1033 457 130 42 -1 -1 -1 -1 label : spot-1 0.44
298 7 1041 457 103 40 -1 -1 -1 -1 label : spot-1 0.44
299 7 1039 457 102 40 -1 -1 -1 -1 label : spot-1 0.44
300 7 1041 459 90 37 -1 -1 -1 -1 label : spot-1 0.42
301 7 1041 460 87 36 -1 -1 -1 -1 label : spot-1 0.42
302 7 1043 462 79 31 -1 -1 -1 -1 label : spot-1 0.41
303 7 1045 463 74 29 -1 -1 -1 -1 label : spot-1 0.41
420 8 1169 480 110 75 -1 -1 -1 -1 label : spot-1 0.44
421 8 1170 481 109 73 -1 -1 -1 -1 label : spot-1 0.44
440 9 1134 481 145 59 -1 -1 -1 -1 label : spot-1 0.53
441 9 1135 480 144 59 -1 -1 -1 -1 label : spot-1 0.53
442 9 1133 480 146 61 -1 -1 -1 -1 label : spot-1 0.46
443 9 1132 480 147 61 -1 -1 -1 -1 label : spot-1 0.46
444 9 1129 479 150 60 -1 -1 -1 -1 label : spot-1 0.52
445 9 1129 478 150 61 -1 -1 -1 -1 label : spot-1 0.52
446 9 1129 479 149 61 -1 -1 -1 -1 label : spot-1 0.49
447 9 1129 479 149 62 -1 -1 -1 -1 label : spot-1 0.49
448 9 1125 481 154 60 -1 -1 -1 -1 label : spot-1 0.45
449 9 1125 481 154 61 -1 -1 -1 -1 label : spot-1 0.44
450 9 1126 483 153 61 -1 -1 -1 -1 label : spot-1 0.49
