10 1 1129 556 150 88 -1 -1 -1 -1 label : spot-0.10
11 1 1133 555 146 85 -1 -1 -1 -1 label : spot-0.11
126 5 211 453 107 19 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
127 5 212 454 105 19 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
133 5 206 455 110 25 -1 -1 -1 -1 label : invalidSpot-entrance 0.10
136 5 200 460 111 30 -1 -1 -1 -1 label : invalidSpot-entrance 0.17
137 5 195 462 118 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.17
138 5 190 462 123 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
138 7 190 462 115 43 -1 -1 -1 -1 label : spot-1 0.11
139 5 190 462 122 31 -1 -1 -1 -1 label : invalidSpot-entrance 0.15
139 7 190 462 112 41 -1 -1 -1 -1 label : spot-1 0.10
140 5 186 463 127 33 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
141 7 185 463 124 44 -1 -1 -1 -1 label : spot-1 0.17
142 5 178 465 136 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
143 5 178 466 135 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
144 5 174 466 133 36 -1 -1 -1 -1 label : spot-1 0.10
145 5 170 466 138 38 -1 -1 -1 -1 label : spot-1 0.10
146 5 166 467 142 39 -1 -1 -1 -1 label : spot-1 0.16
147 7 172 468 127 26 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
148 7 166 468 134 27 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
149 7 165 469 134 27 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
150 7 161 469 140 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.25
151 7 160 470 142 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
154 7 149 470 145 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
155 7 146 470 144 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
156 7 137 469 157 28 -1 -1 -1 -1 label : invalidSpot-entrance 0.10
158 7 133 467 155 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
159 7 129 467 160 32 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
162 5 115 464 111 40 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
163 5 115 464 108 41 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
164 5 104 465 141 40 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
165 5 107 465 138 40 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
166 5 90 465 201 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.26
167 5 95 465 201 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.25
168 5 93 465 199 39 -1 -1 -1 -1 label : invalidSpot-entrance 0.20
168 7 95 463 100 51 -1 -1 -1 -1 label : invalidSpot-entrance 0.10
169 5 91 465 200 38 -1 -1 -1 -1 label : invalidSpot-entrance 0.21
169 7 90 462 103 53 -1 -1 -1 -1 label : invalidSpot-entrance 0.10
170 5 90 466 178 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
170 7 81 464 102 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
171 5 80 466 187 48 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
171 7 76 465 105 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
172 5 61 466 226 45 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
172 7 64 465 121 56 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
173 5 63 466 221 43 -1 -1 -1 -1 label : invalidSpot-entrance 0.26
174 5 64 466 207 49 -1 -1 -1 -1 label : invalidSpot-entrance 0.39
174 7 58 467 120 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
175 5 59 466 213 52 -1 -1 -1 -1 label : invalidSpot-entrance 0.40
175 7 56 467 122 60 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
176 5 50 466 222 56 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
177 5 45 466 229 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.47
178 5 33 467 246 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
178 7 38 468 128 68 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
179 5 34 467 243 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.52
179 7 36 469 130 67 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
180 5 19 468 261 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.32
181 5 16 469 263 56 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
182 5 7 471 248 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.12
183 5 0 472 251 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.12
184 5 0 473 247 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
185 5 0 474 244 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
186 5 0 474 252 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
187 5 0 474 252 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
192 5 3 476 227 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.15
193 5 0 477 228 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
194 5 0 478 234 60 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
195 5 0 478 234 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
198 7 0 477 136 63 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
199 7 0 478 135 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
200 7 0 478 130 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.21
201 7 0 479 130 60 -1 -1 -1 -1 label : invalidSpot-entrance 0.22
202 7 0 480 130 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.23
203 5 0 481 247 50 -1 -1 -1 -1 label : invalidSpot-entrance 0.22
203 7 0 481 131 60 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
204 5 0 482 247 49 -1 -1 -1 -1 label : invalidSpot-entrance 0.21
205 7 0 481 127 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.20
206 5 0 483 261 54 -1 -1 -1 -1 label : invalidSpot-entrance 0.30
206 7 2 481 119 59 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
207 5 0 484 264 53 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
207 7 1 481 121 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
208 5 0 484 267 54 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
209 7 0 482 119 56 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
210 7 0 482 116 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.23
211 7 0 482 116 60 -1 -1 -1 -1 label : invalidSpot-entrance 0.23
212 5 1 484 258 57 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
212 7 2 482 108 66 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
213 5 0 484 260 58 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
213 7 0 483 112 68 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
214 5 7 485 229 61 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
214 7 1 482 106 72 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
215 5 1 485 234 62 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
215 7 0 482 107 73 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
216 5 5 485 218 67 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
216 7 2 480 101 81 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
217 5 0 485 226 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
217 7 0 479 105 85 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
218 5 1 485 220 73 -1 -1 -1 -1 label : invalidSpot-entrance 0.23
218 7 0 478 102 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.22
219 5 0 485 221 74 -1 -1 -1 -1 label : invalidSpot-entrance 0.23
219 7 0 478 102 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.22
220 5 0 485 219 74 -1 -1 -1 -1 label : invalidSpot-entrance 0.24
220 7 0 480 102 80 -1 -1 -1 -1 label : invalidSpot-entrance 0.20
221 5 0 485 209 74 -1 -1 -1 -1 label : invalidSpot-entrance 0.27
221 7 0 480 100 78 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
222 5 0 486 235 72 -1 -1 -1 -1 label : invalidSpot-entrance 0.25
222 7 1 481 95 84 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
223 5 0 486 236 71 -1 -1 -1 -1 label : invalidSpot-entrance 0.26
223 7 0 481 97 86 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
224 5 0 489 234 71 -1 -1 -1 -1 label : invalidSpot-entrance 0.21
224 7 0 482 92 88 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
225 5 0 489 235 73 -1 -1 -1 -1 label : invalidSpot-entrance 0.20
225 7 0 482 92 89 -1 -1 -1 -1 label : invalidSpot-entrance 0.19
226 5 0 490 242 75 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
226 7 0 485 93 89 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
227 5 0 491 243 76 -1 -1 -1 -1 label : invalidSpot-entrance 0.27
227 7 0 485 93 91 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
228 5 0 490 245 78 -1 -1 -1 -1 label : invalidSpot-entrance 0.17
228 7 0 486 88 90 -1 -1 -1 -1 label : invalidSpot-entrance 0.13
229 5 0 490 247 78 -1 -1 -1 -1 label : invalidSpot-entrance 0.18
229 7 0 486 87 90 -1 -1 -1 -1 label : invalidSpot-entrance 0.14
230 5 1 493 239 79 -1 -1 -1 -1 label : invalidSpot-entrance 0.16
230 7 0 489 82 93 -1 -1 -1 -1 label : invalidSpot-entrance 0.10
231 5 0 494 239 80 -1 -1 -1 -1 label : invalidSpot-entrance 0.15
231 7 0 489 82 94 -1 -1 -1 -1 label : invalidSpot-entrance 0.11
232 5 0 495 233 77 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
233 5 0 496 232 75 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
234 5 0 497 229 71 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
235 5 0 497 227 70 -1 -1 -1 -1 label : invalidSpot-entrance 0.33
236 5 2 499 211 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.30
237 5 0 500 209 69 -1 -1 -1 -1 label : invalidSpot-entrance 0.31
238 5 7 491 229 96 -1 -1 -1 -1 label : spot-1 0.24
238 9 1010 539 165 62 -1 -1 -1 -1 label : spot-1 0.18
239 5 2 488 249 104 -1 -1 -1 -1 label : spot-1 0.22
239 9 1012 540 165 58 -1 -1 -1 -1 label : spot-1 0.16
240 5 2 496 221 100 -1 -1 -1 -1 label : invalidSpot-entrance 0.27
241 5 0 499 219 98 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
242 5 0 501 215 97 -1 -1 -1 -1 label : invalidSpot-entrance 0.25
242 9 1050 542 164 72 -1 -1 -1 -1 label : spot-1 0.12
243 5 0 502 214 96 -1 -1 -1 -1 label : invalidSpot-entrance 0.25
243 9 1055 543 165 73 -1 -1 -1 -1 label : spot-1 0.11
244 5 0 505 224 104 -1 -1 -1 -1 label : invalidSpot-entrance 0.27
244 9 1027 546 238 88 -1 -1 -1 -1 label : spot-1 0.20
245 5 0 506 229 106 -1 -1 -1 -1 label : invalidSpot-entrance 0.27
245 9 1021 547 254 93 -1 -1 -1 -1 label : spot-1 0.21
246 5 0 506 232 104 -1 -1 -1 -1 label : invalidSpot-entrance 0.29
246 9 1062 547 209 103 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.13
247 5 0 506 233 104 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
247 9 1065 547 214 106 -1 -1 -1 -1 label : invalidspot-coloredCurb 0.14
248 5 0 505 235 105 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
248 9 1073 553 206 103 -1 -1 -1 -1 label : invalidSpot-fireHydrant 0.13
249 5 0 505 235 105 -1 -1 -1 -1 label : invalidSpot-entrance 0.28
