89 1 135 471 270 55 -1 -1 -1 -1 label : spot-0.42
90 1 122 474 278 55 -1 -1 -1 -1 label : spot-0.46
91 1 109 475 286 57 -1 -1 -1 -1 label : spot-0.46
92 1 93 475 299 61 -1 -1 -1 -1 label : spot-0.42
93 1 75 475 306 63 -1 -1 -1 -1 label : spot-0.42
94 1 58 476 320 64 -1 -1 -1 -1 label : spot-0.46
95 1 31 477 335 69 -1 -1 -1 -1 label : spot-0.42
99 1 11 479 326 73 -1 -1 -1 -1 label : spot-0.43
299 4 384 457 12 24 -1 -1 -1 -1 label : fireHydrant 0.64
300 4 381 458 13 25 -1 -1 -1 -1 label : fireHydrant 0.60
301 4 380 458 12 27 -1 -1 -1 -1 label : fireHydrant 0.58
303 4 376 460 15 28 -1 -1 -1 -1 label : fireHydrant 0.42
304 4 375 461 14 29 -1 -1 -1 -1 label : fireHydrant 0.56
305 4 373 462 15 29 -1 -1 -1 -1 label : fireHydrant 0.42
306 4 372 462 14 30 -1 -1 -1 -1 label : fireHydrant 0.57
307 4 370 462 15 31 -1 -1 -1 -1 label : fireHydrant 0.57
308 4 369 463 14 31 -1 -1 -1 -1 label : fireHydrant 0.56
309 4 367 464 15 31 -1 -1 -1 -1 label : fireHydrant 0.59
310 4 365 465 15 29 -1 -1 -1 -1 label : fireHydrant 0.65
311 4 363 465 15 30 -1 -1 -1 -1 label : fireHydrant 0.66
312 4 362 465 15 31 -1 -1 -1 -1 label : fireHydrant 0.62
313 4 359 465 16 31 -1 -1 -1 -1 label : fireHydrant 0.48
314 4 357 466 16 30 -1 -1 -1 -1 label : fireHydrant 0.57
315 4 356 465 15 32 -1 -1 -1 -1 label : fireHydrant 0.65
316 4 354 465 15 32 -1 -1 -1 -1 label : fireHydrant 0.74
318 4 351 465 15 35 -1 -1 -1 -1 label : fireHydrant 0.58
319 4 349 466 15 35 -1 -1 -1 -1 label : fireHydrant 0.58
320 4 345 467 18 36 -1 -1 -1 -1 label : fireHydrant 0.51
322 4 342 468 17 39 -1 -1 -1 -1 label : fireHydrant 0.58
